stellar_mass,gas_mass,vmax,pos_x,pos_y,pos_z,sfr,baryonic_mass,gas_fraction,log_env,log_mbar,log_vmax,btfr_residual
7658691600.0,0.0,119.33263,0.12742746,26.06355,17.847906,0.0,7658691600.0,0.0,1.716833099560489,9.884154,2.076759,-0.3195753
13934014000.0,1180222300.0,136.4365,0.24089187,26.892183,16.515638,0.11045123,15114237000.0,0.07808679,1.3155636439752305,10.179386,2.1349306,-0.2358942
28991453000.0,0.0,226.49263,0.8447441,26.295065,18.300653,0.0,28991453000.0,0.0,4.671736014844606,10.46227,2.3550541,-0.7535267
14067545000.0,2742005200.0,124.755424,0.40056643,26.799923,17.882925,0.47551575,16809550000.0,0.16312188,1.9634291444279472,10.225556,2.0960593,-0.04836178
10569805000.0,5064010000.0,138.6897,0.1374204,26.601044,15.649041,0.5948853,15633816000.0,0.3239139,1.3462283239389048,10.194065,2.1420443,-0.24708557
10874044000.0,0.0,144.62558,1.7466644,25.654465,18.62557,0.0,10874044000.0,0.0,1.5882148421282796,10.036391,2.1602452,-0.47095013
12289921000.0,0.0,135.94594,0.74432313,26.642248,17.965412,0.0,12289921000.0,0.0,2.3906594252268536,10.089549,2.1333663,-0.3200426
26876674000.0,0.0,206.72766,0.81334937,26.405525,18.315723,0.0,26876674000.0,0.0,3.89067539968767,10.429376,2.3153987,-0.64220715
6324390400.0,7408430000.0,126.76275,0.11434344,24.759962,17.188013,1.1633639,13732821000.0,0.53946894,1.9273196954448235,10.13776,2.1029916,-0.16136837
13165209000.0,0.0,152.32759,0.7479096,27.126396,17.74933,0.0,13165209000.0,0.0,1.711139213572266,10.119428,2.1827786,-0.46986008
3389834500.0,2527107000.0,97.13083,1.4204804,27.032572,17.661602,0.098395914,5916941300.0,0.42709687,1.2432897970210515,9.772098,1.9873571,-0.1065073
22725782000.0,0.0,207.05643,1.0124519,26.149246,18.432936,0.0,22725782000.0,0.0,2.8458036111163882,10.356519,2.3160887,-0.71757317
5834823700.0,10752504000.0,116.21386,1.2051783,27.55949,17.67835,0.15093096,16587327000.0,0.64823604,1.3129067655791198,10.219776,2.065258,0.05787182
8444591000.0,0.0,131.06583,0.46591714,26.628008,17.309141,0.0,8444591000.0,0.0,1.833648306328063,9.9265785,2.1174896,-0.42527485
26367713000.0,0.0,304.76224,0.8428351,26.33418,18.29588,0.0,26367713000.0,0.0,4.983042572271897,10.421072,2.483961,-1.2635164
17157907000.0,0.0,159.04501,0.58433414,26.92063,17.189022,0.0,17157907000.0,0.0,1.8102756418054804,10.234465,2.20152,-0.42297935
11268850000.0,0.0,128.53194,0.86863273,26.047924,17.906216,0.0,11268850000.0,0.0,2.010531265840402,10.05188,2.109011,-0.2691393
12069515000.0,8719345000.0,135.93579,74.99456,24.612247,16.994211,1.2807658,20788859000.0,0.4194239,2.60235719915204,10.317831,2.133334,-0.09164333
17715710000.0,1233404800.0,166.14641,1.4751457,26.380396,19.005644,0.17550848,18949114000.0,0.065090366,1.6590209305437322,10.277589,2.220491,-0.44884586
5657393700.0,13474668000.0,123.83404,0.64338297,24.421879,16.953009,0.9839398,19132062000.0,0.7042977,1.6307405752481685,10.281762,2.09284,0.019551277
14756561000.0,0.0,127.4721,1.2012311,26.38279,17.852564,0.0,14756561000.0,0.0,2.471787955820341,10.168985,2.105415,-0.13895702
2226036700.0,9619575000.0,102.95929,0.85947424,25.423952,17.934132,0.73658806,11845612000.0,0.8120792,1.303385939953456,10.073558,2.0126655,0.10291481
2123983700.0,2669221400.0,101.7134,0.2952005,25.794426,17.684431,0.86516815,4793205000.0,0.55687606,1.4644844394761496,9.680626,2.007378,-0.2707882
12525568000.0,0.0,148.13629,0.514784,27.081558,17.089825,0.0,12525568000.0,0.0,1.5756910992852453,10.097797,2.1706614,-0.44742393
3550868200.0,10123185000.0,104.99114,74.6216,24.89321,16.495619,0.6375705,13674054000.0,0.74032074,1.4590726192643355,10.135898,2.0211527,0.13438988
3091200800.0,6633150000.0,114.29795,0.49709576,24.883608,16.363625,0.30980977,9724350000.0,0.6821175,1.206676987815699,9.987861,2.0580385,-0.147789
13642366000.0,0.0,134.6281,0.99403125,26.329277,18.058937,0.0,13642366000.0,0.0,2.49106421780327,10.13489,2.1291356,-0.25931644
6213828600.0,0.0,117.13382,0.7923984,26.845829,16.3116,0.0,6213828600.0,0.0,1.4165684965585346,9.793359,2.0686822,-0.3809986
